uri,room_count,floor,max_floor,street,house_number,general_area,intersection,microdistrict,building_type,kitchen_area,living_area,condition,build_year,residential_complex,city,district,telephone,internet,balcony,is_balcony_glazed,door,bathroom,parking,furniture,floor_type,former_hostel,ceiling_height,bars_on_the_window,security,entry_phone,code_lock,alarm,video_security,video_entry_phone,concierge,exchange_possible,plastic_windows,non_angular,improved,rooms_isolated,studio_kitchen,kitchen_builtin,new_plumbing,pantry,counters,quiet_courtyard,air_conditioning,commercial_convenient,price,mortgaged,images_count,private_hostel,text
https://krisha.kz//a/show/676152429,3,6,21,Аскарова,6,124.5,nan,nan,монолитный,nan,nan,nan,2012,Apple Town,Алматы,Ауэзовский,nan,nan,лоджия,True,металлическая,2 с/у и более,паркинг,nan,ламинат,False,2.8,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,118000000,False,13,False,None
https://krisha.kz//a/show/676951943,2,1,10,Толе би,285,62.0,Отеген батыра,nan,монолитный,nan,nan,nan,2022,CITY PLUS,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,37200000,False,6,False,Все документы на руках! С ремонтом. Можно под коммерцию. Лоджия позволяет сделать отдельную входную группу. Ваша квартира под счастливым номером 8 ждёт вас!
https://krisha.kz//a/show/675361969,2,6,6,nan,nan,68.0,nan,Кокжиек 8,монолитный,13.0,nan,хорошее,2012,nan,Алматы,Жетысуский,nan,через TV кабель,балкон,True,металлическая,раздельный,рядом охраняемая стоянка,nan,линолеум,False,2.8,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,True,False,True,False,True,False,27000000,False,20,False,"Счётчики, встроенная кухня, улучшенная, пластиковые окна, новая сантехника, комнаты изолированы, кондиционер.
Очень уютная квартира. Кондиционеры. Тёплая, светлая. Рядышком охраняемая стоянка. Школа, детский сад. С Мебелью 
."
https://krisha.kz//a/show/677597056,3,3,5,nan,nan,110.0,nan,Думан-2 9,монолитный,18.5,nan,nan,2015,Меркур Град,Алматы,Медеуский,есть возможность подключения,через TV кабель,несколько балконов или лоджий,False,бронированная,2 с/у и более,nan,nan,ламинат,False,2.7,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,68000000,False,31,False,"Пластиковые окна, тихий двор, неугловая, улучшенная, комнаты изолированы, кухня-студия, встроенная кухня, новая сантехника, кладовка, счётчики.
Продаётся светлая, солнечная 3 - комнатная квартира с новым ремонтом, сделали в мае - 2022 года, после черновой отделки, делали для себя. дом находится удалённо от дорог в экологически чистом районе, роза ветров, отличная продуваемость, свежий воздух, направление окон квартиры Восток-Запад, квартира в середине не угловая, вложений не требует, просторная кухня-студия, два санузла, гардеробная, новая сантехника, тропический душ, два балкона, регулируемые тёплые полы в сан. узлах и в прихожей, удобная логистика, развитая инфраструктура, рядом гимназия и садик, красивый двор и большая крытая спортивная площадка. Реальным клиентам торг! Варианты обмена на квартиру в Медеуском и Бостандыкском районах."
https://krisha.kz//a/show/678733747,3,4,12,Рыскулбекова,28/1,128.0,nan,nan,монолитный,20.0,nan,хорошее,2015,Бай-тал,Алматы,Бостандыкский,отдельный,проводной,несколько балконов или лоджий,True,металлическая,2 с/у и более,паркинг,nan,ламинат,False,2.8,False,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,76500000,False,14,False,"Пластиковые окна, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор.
Квартира в отличном состоянии! Ничего делать не надо, заехал и живи! торг."
https://krisha.kz//a/show/679120865,1,6,9,Казыбек би,125,18.6,nan,nan,монолитный,nan,nan,хорошее,2011,Мечта,Алматы,Алмалинский,есть возможность подключения,ADSL,nan,False,металлическая,совмещенный,рядом охраняемая стоянка,nan,ламинат,False,2.7,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,18500000,False,5,False,"Кондиционер, пластиковые окна, встроенная кухня, счётчики, тихий двор.
Продаётся студия, сан. узел внутри, хорошая транспортная доступность, рядом университеты, магазины, не залоговая."
https://krisha.kz//a/show/679557306,3,1,3,Микрорайон Мирас,115,168.5,nan,nan,монолитный,15.0,nan,nan,2022,President's Park,Алматы,Бостандыкский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,3.2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,400000000,False,7,False,"В черновой отделке, Премиум класс, с терассой 46м2 на отм +4 м от уровня земли, в стоимость входит 2 подземн парковки, северо- восток, с видом на Парк 1 президента, очередь 2.2"
https://krisha.kz//a/show/672138667,2,3,20,Брусиловского,nan,43.0,nan,nan,монолитный,6.0,nan,требует ремонта,2008,Манхеттен (29 квартал),Алматы,Бостандыкский,нет,оптика,лоджия,True,металлическая,совмещенный,паркинг,без мебели,линолеум,False,2.8,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,33000000,False,10,False,"Пластиковые окна, кухня-студия, счётчики, тихий двор, кондиционер.
ЖК прекрасно расположен, все в пешей доступности: продуктовые магазины, базар Тастак, ТРЦ АДК, метро, школы, детские сады (частные и гостударственные), внутри ЖК аптеки, оптика, несколько продуктовых магазинов, аптеки, детские центры развития, медцентр, лорцентр, салоны красоты, почтовое отделение, отделение банка, несколько банкоматов. 
 
квартира переделана в ""полуторку"" - кухня-студия + отдельная комната. документы в порядке. 
 
возможен небольшой торг"
https://krisha.kz//a/show/678298493,3,2,2,Дулат Бабатайулы,nan,75.0,nan,Карасу,монолитный,nan,nan,хорошее,2020,Карасу,Алматы,Алатауский,nan,nan,балкон,False,металлическая,2 с/у и более,паркинг,без мебели,ламинат,False,3.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,28500000,False,13,False,"Пластиковые окна, счётчики, тихий двор.
Продам 3 х комнатную квартиру Таунхаус .2 этажа.1 этаж -кухня - гостиная, санузел.2 этаж - 2 спальни и санузел с ванной. Имеется 2 сотки земли вокруг дома. Можно делать пристройку к дому. Новый дом 2020 г.п, тёплый с ремонтом. Без мебели. Ипотеку рассматриваем. . Срочно."
https://krisha.kz//a/show/675941220,2,6,19,Брусиловского,167,62.0,nan,Тастак-2,монолитный,9.0,nan,хорошее,2012,Алтын Булак,Алматы,Алмалинский,отдельный,проводной,балкон,True,металлическая,совмещенный,рядом охраняемая стоянка,частично,ламинат,False,2.8,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,43000000,True,11,False,"Пластиковые окна, неугловая, улучшенная."
https://krisha.kz//a/show/679461174,2,7,9,Мкр,nan,61.9,nan,Шугыла,монолитный,9.8,nan,хорошее,2020,Шугыла City,Алматы,Наурызбайский,nan,через TV кабель,балкон,True,металлическая,совмещенный,паркинг,nan,линолеум,False,2.7,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,30500000,True,10,False,"Кондиционер, пластиковые окна, неугловая, кухня-студия, встроенная кухня, счётчики.
Продается светлая, уютная квартира в мкр. Шугыла, ЖК Шугыла City, рядом гос. садик, школа, Наурызбайский цон, парк развлечения, аптеки, магазины, салоны красоты все в шаговой доступности. Молодой перспективный район, проезжают много автобусов 118, 27, 44, 14, 137, 44, 104а. Квартира продаётся вместе с мебелью и техникой. Болкон утеплённый. Возможен торг."
https://krisha.kz//a/show/677271814,2,5,5,nan,nan,49.0,nan,Айнабулак-3 128,панельный,10.0,42.0,среднее,1989,nan,Алматы,Жетысуский,отдельный,через TV кабель,несколько балконов или лоджий,False,металлическая,совмещенный,рядом охраняемая стоянка,частично,линолеум,False,2.8,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,23000000,False,4,False,"Неугловая, комнаты изолированы, счётчики, тихий двор.
Срочно!"
https://krisha.kz//a/show/679462587,2,5,5,nan,nan,49.0,nan,Айнабулак-3 128,панельный,10.0,nan,среднее,1989,nan,Алматы,Жетысуский,отдельный,через TV кабель,несколько балконов или лоджий,False,металлическая,совмещенный,рядом охраняемая стоянка,частично,линолеум,False,2.8,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,24000000,False,4,False,"Неугловая, улучшенная, комнаты изолированы, счётчики, тихий двор."
https://krisha.kz//a/show/679568422,3,3,5,Халиуллина,nan,78.9,nan,nan,монолитный,12.0,nan,nan,2022,nan,Алматы,Медеуский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,53000000,True,9,False,"Продаю 3-х комнатную квартиру в жилом комплексе MEDEU City 
Квартира меблирована. Ремонт сделан был для себя. Светлая, уютная. Перед окнами детская игровая площадка. Рядом находится Магнум круглосуточный, конечная остановка, фастфуд магазины. строится большой Апорт, Леруа Мерлен в 2023 открытие. 
Класс жилья Комфорт 
 
Преимущества: 
 Закрытый двор 
 Игровая площадка 
Собственный паркинг 
 
За наличный расчёт как так квартира в залоге"
https://krisha.kz//a/show/679554727,1,7,13,nan,nan,45.0,nan,Нуркент,монолитный,9.0,nan,хорошее,2015,nan,Алматы,Алатауский,nan,nan,балкон,True,металлическая,совмещенный,nan,частично,ламинат,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,27000000,False,5,False,None
https://krisha.kz//a/show/679425308,4,3,3,Бокейханова,19,86.4,nan,nan,панельный,nan,nan,хорошее,1986,nan,Алматы,Жетысуский,отдельный,через TV кабель,nan,False,металлическая,раздельный,паркинг,nan,линолеум,False,3.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,35000000,False,12,False,"Кондиционер, неугловая, счётчики, тихий двор.
Всех приветствую хороший спальный район 
нет наркоманов, алкашей 
Есть новая детская площадка 
хорошые культурные соседи. 
до ТРЦ Максимы на своих двоих 
15 минут. На транспорте 5 мин 
есть несколько продуктовых магазинов 
В общем район все супер"
https://krisha.kz//a/show/678882574,2,12,12,Сатпаева,90/63,60.0,Туркебаева,nan,монолитный,9.0,nan,хорошее,2018,Акварель,Алматы,Бостандыкский,отдельный,ADSL,лоджия,True,металлическая,раздельный,паркинг,nan,ламинат,False,2.74,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,55000000,False,10,False,"Уютная, светлая, теплая квартира, с мебелью"
https://krisha.kz//a/show/678228333,1,4,9,Сулейменова,nan,35.4,nan,Таугуль-1,монолитный,8.5,17.2,черновая отделка,2024,Taugul,Алматы,Ауэзовский,нет,nan,балкон,False,металлическая,совмещенный,паркинг,nan,nan,False,2.8,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,18500000,False,0,False,"Пластиковые окна, неугловая, улучшенная, комнаты изолированы.
Сдача 4 квартал 2024 года"
https://krisha.kz//a/show/678959309,4,8,12,Кармысова,84,106.3,nan,nan,монолитный,nan,71.2,nan,2022,Exclusive Star,Алматы,Медеуский,nan,nan,лоджия,True,металлическая,2 с/у и более,nan,nan,паркет,False,2.8,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,110000000,False,11,False,Квартира в чистовой отделке.
https://krisha.kz//a/show/679127331,3,2,5,Ади Шарипова,17/2,59.0,проспект Жибек Жолы,nan,панельный,6.0,42.0,хорошее,1973,nan,Алматы,Алмалинский,отдельный,оптика,балкон,True,металлическая,совмещенный,nan,частично,ламинат,False,2.7,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,True,False,False,42000000,False,10,False,"Пластиковые окна, неугловая, встроенная кухня, кладовка, счётчики, тихий двор.
Квартира теплая, выходит на две стороны юг-север, не угловая, 2 этаж, балкон остеклен, имеется два шкафа встроенных на балконе. В коридоре встроенный большой шкаф до потолка, за шкафом находится еще одна комната, шкаф двойной, внутри комнаты он книжный. Квартира частично мебелирована. Дом окружен деревьями, находится внутри двора. Тихий большой двор, с обеих сторон дома имеется 3 детские площадки новые, футбольное и баскетбольное поле, рядом с подъездом кармашек для парковки машин, рядом садики, 3 школы, магазины, поликлиника. Имеем 2 отдельные кладовки в подвале, где-то с полками. 
ВАЖНО Звонить можно с утра до 23:00, показ после 19:00."
https://krisha.kz//a/show/679300004,2,13,18,Навои,208,52.2,Торайгырова,nan,монолитный,nan,nan,хорошее,2015,Шахристан,Алматы,Бостандыкский,nan,через TV кабель,лоджия,True,nan,2 с/у и более,паркинг,nan,nan,False,2.95,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,48000000,False,15,False,"Кондиционер, улучшенная, комнаты изолированы, тихий двор.
Варианты на обмен квартиры, авто"
https://krisha.kz//a/show/675703838,2,4,20,Гагарина,310,69.0,nan,Алмагуль,монолитный,16.0,40.0,nan,2022,Комфорт Сити,Алматы,Бостандыкский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,50000000,False,3,False,"Срочно! Цена ниже чем у застройщика! 
Не упустите свой шанс! 
Полноценная двухкомнатная квартира, комнаты изолированы, отдельно кухня, отдельно жилые комнаты. Можно переделать в трехкомнатную. 
4 этаж, высота потолков 3 м."
https://krisha.kz//a/show/678821426,3,3,5,Жарокова,37/2,56.0,nan,nan,панельный,6.0,nan,nan,1980,nan,Алматы,Алмалинский,отдельный,оптика,nan,True,металлическая,раздельный,nan,nan,nan,False,2.7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,43500000,False,16,False,"- квартира в отличном, тихом и спальном районе Алматы. Самое удобное расположение квартиры, все в шаговой доступности- школа, детсады, салоны, магазины Small, Magnum, парк Ганди и многое др. 
- Имеется перепланировка, все узаконено. 
квартира угловая, но тёплая, окна- восток/север. 
зимой тепло, летом прохладно. 
- Хорошая аура, добрые соседи, идеальный район для семейной жизн, в центре Алмалинского района, в округе зелёные парки, аллеи. 
- в услугах риэлтора не нуждаюсь, фото не отправляю. 
- Первый и единственный хозяин. 
- Наличка/Ипотека проходит, документы в порядке. 
- Продажа вместе с мебелью и техникой. 
 Разумный торг."
https://krisha.kz//a/show/678587336,3,3,5,Тулебаева,39,60.2,Алимжанова,nan,панельный,6.0,44.1,требует ремонта,1974,nan,Алматы,Медеуский,есть возможность подключения,проводной,балкон,True,металлическая,раздельный,рядом охраняемая стоянка,частично,линолеум,False,2.75,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,38000000,False,13,False,"Пластиковые окна, счётчики, кондиционер.
Продаётся квартира в центре. Не в залоге. Не в общежитии. Риэлторы пожалуйста не звоните. Продаёт хозяин квартиры. Рядом школа №54. Арбат. Хорошая детская площадка. Рядом центральный универсам"
https://krisha.kz//a/show/677210399,1,4,9,nan,nan,42.0,nan,Аксай-1 23,панельный,10.7,nan,nan,1990,nan,Алматы,Ауэзовский,есть возможность подключения,ADSL,nan,False,nan,совмещенный,паркинг,nan,линолеум,False,2.8,False,False,True,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,True,True,False,25000000,False,12,False,"Пластиковые окна, кладовка, кондиционер, счётчики, встроенная кухня, тихий двор, улучшенная, неугловая.
Продаю квартиру"
https://krisha.kz//a/show/676518726,2,4,5,Солодовникова,nan,42.5,Сатпаева,nan,панельный,6.0,nan,хорошее,1981,nan,Алматы,Бостандыкский,отдельный,проводной,балкон,True,nan,совмещенный,рядом охраняемая стоянка,nan,линолеум,False,2.7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,38000000,True,8,False,"Пластиковые окна, тихий двор, кондиционер, встроенная кухня, счётчики.
Развитая инфраструктура, тихий двор, рядом школы и детские сады, супермаркеты, не далеко ТРЦ Адк. Доброжелательные соседи."
https://krisha.kz//a/show/674949545,5,nan,nan,Бесагаш,nan,150.0,nan,Думан-2,кирпичный,19.0,150.0,хорошее,2022,Besagash Residence,Алматы,Медеуский,nan,nan,балкон и лоджия,False,nan,2 с/у и более,паркинг,без мебели,nan,False,3.2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,53000000,False,3,False,"Покупка Таунхауса «Besagash Residence» подарит вам спокойную, комфортную жизнь. 
 
Наш дом расположен в безопасном, экологически чистом, уютном районе Бесагаш. Здесь вы будете жить комфортно и счастливо. 
 
Бесагаш это: 
1. Спокойный и продуманный для жизни поселок с широкими улицами, который был спроектирован и построен для постоянного проживания, а не как дачный массив. 
2. Бесагаш находится в 5-ти минутах езды от Восточной Объездной Дороги Алматы (ВОАД). В Бесагаш ведут параллельные 3 большие дороги: Талгарская трасса, Кульджинская трасса, БАК-овская дорога. Также достраивается развязка на Кульджинской трассе. 
Все эти дороги позволяют ездить без пробок в город и обратно. 
 
 
Преимущества: 
💥14 соток собственной закрытой территории; 
💥Охрана 24 часа, видеонаблюдение; 
💥Собственная придомовая территория для сада и семейных посиделок; 
💥Хорошие соседи; 
💥2 парковочных места для каждого дома 
💥Высота потолков 3, 2 метра. 
💥отдельное кладовое помещение для сезонных и габаритных вещей 
 
Архитектура 
Hometown - состоит из 6 двухэтажных домов с большими окнами, продуманной планировкой, просторными комнатами и уютным двором. 
 
Приобретая любой из домов Вы получите просторную гостиную, отдельную кухню-столовую, 3 спальни, кладовку и 2 парковочных места."
https://krisha.kz//a/show/677927488,2,5,5,Назарбаева,42,63.0,Назарбаева,nan,кирпичный,nan,nan,хорошее,1973,nan,Алматы,Медеуский,nan,оптика,несколько балконов или лоджий,True,nan,раздельный,рядом охраняемая стоянка,nan,паркет,False,2.8,False,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,False,57000000,False,12,False,"Улучшенная, неугловая, кладовка, пластиковые окна, комнаты изолированы, кондиционер, счётчики, тихий двор.
Продадим 2-х комнатную квартиру в отличном районе, в центре г. Алматы. 
 
Квартира в отличном состоянии. 
Совминовский дом. Просторный подъезд, с камерами и домофоном. 
Удобная планировка, комнаты изолированы. Два балкона и гардеробная. 
Раздельный санузел. 
 
Недавно был произведён косметический ремонт. Делали для себя. 
 
Тихий, спокойный и обустроенный двор. Во дворе есть детская площадка с футбольным полем. большая и удобная парковка. Удобный выезд на улицы Назарбаева и Тулебаева. 
 
Вблизи есть все необходимое: две школы, детские сады, парки и скверы, станция метро, поликлиника, торговые центры, супермаркеты и. т. д. 
 
Не в залоге. 
Рассмотрю варианты обмена. 
торг уместен."
https://krisha.kz//a/show/674772263,2,1,12,Си Синхая,17,57.66,Гагарина,nan,монолитный,nan,nan,nan,2022,Union,Алматы,Бостандыкский,nan,nan,nan,False,nan,nan,паркинг,nan,nan,False,3.0,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,38700000,False,6,False,"ЖК бизнес-Класса 
Высота потолков 3, 3 м 
Витражные окна с видом на горы и двор 
Распашонка 
1-этаж на уровне 3-этажа 
Выгодные условия приобретения. Надо внести первоначальный взнос в размере 50%, а оставшуюся сумму после сдачи в эксплуатацию. сдача в марте 2023 года."
